Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.49600","0.59432","-0.01762"
"0.49700","0.59557","-0.01872"
"0.49800","0.59683","-0.01990"
"0.49900","0.59808","-0.02093"
"0.50000","0.59933","-0.02148"
"0.50100","0.60059","-0.02144"
"0.50200","0.60184","-0.02101"
"0.50300","0.60309","-0.02043"
"0.50400","0.60435","-0.01977"
"0.50500","0.60560","-0.01913"
"0.50600","0.60686","-0.01860"
"0.50700","0.60811","-0.01829"
"0.50800","0.60937","-0.01823"
"0.50900","0.61062","-0.01836"
"0.51000","0.61188","-0.01858"
"0.51100","0.61313","-0.01872"
"0.51200","0.61439","-0.01859"
"0.51300","0.61564","-0.01814"
"0.51400","0.61690","-0.01741"
"0.51500","0.61815","-0.01649"
"0.51600","0.61941","-0.01545"
"0.51700","0.62066","-0.01436"
"0.51800","0.62192","-0.01342"
"0.51900","0.62317","-0.01285"
"0.52000","0.62443","-0.01274"
"0.52100","0.62569","-0.01301"
"0.52200","0.62694","-0.01349"
"0.52300","0.62820","-0.01405"
"0.52400","0.62945","-0.01467"
"0.52500","0.63071","-0.01510"
"0.52600","0.63197","-0.01490"
"0.52700","0.63322","-0.01385"
"0.52800","0.63448","-0.01247"
"0.52900","0.63573","-0.01156"
"0.53000","0.63699","-0.01141"
"0.53100","0.63825","-0.01175"
"0.53200","0.63950","-0.01232"
"0.53300","0.64076","-0.01312"
"0.53400","0.64201","-0.01421"
"0.53500","0.64327","-0.01542"
"0.53600","0.64453","-0.01652"
"0.53700","0.64578","-0.01751"
"0.53800","0.64704","-0.01837"
"0.53900","0.64829","-0.01891"
"0.54000","0.64954","-0.01895"
"0.54100","0.65080","-0.01867"
"0.54200","0.65205","-0.01849"
"0.54300","0.65331","-0.01875"
"0.54400","0.65456","-0.01959"
"0.54500","0.65581","-0.02090"
"0.54600","0.65706","-0.02240"
"0.54700","0.65832","-0.02374"
"0.54800","0.65957","-0.02477"
"0.54900","0.66082","-0.02558"
"0.55000","0.66207","-0.02617"
"0.55100","0.66332","-0.02645"
"0.55200","0.66457","-0.02646"
"0.55300","0.66582","-0.02641"
"0.55400","0.66707","-0.02655"
"0.55500","0.66832","-0.02695"
"0.55600","0.66957","-0.02762"
"0.55700","0.67081","-0.02869"
"0.55800","0.67206","-0.03010"
"0.55900","0.67331","-0.03128"
"0.56000","0.67456","-0.03147"
"0.56100","0.67580","-0.03068"
"0.56200","0.67705","-0.02954"
"0.56300","0.67830","-0.02842"
"0.56400","0.67954","-0.02721"
"0.56500","0.68079","-0.02578"
"0.56600","0.68203","-0.02432"
"0.56700","0.68328","-0.02315"
"0.56800","0.68452","-0.02242"
"0.56900","0.68577","-0.02213"
"0.57000","0.68702","-0.02228"
"0.57100","0.68826","-0.02277"
"0.57200","0.68951","-0.02318"
"0.57300","0.69075","-0.02314"
"0.57400","0.69200","-0.02259"
"0.57500","0.69324","-0.02164"
"0.57600","0.69449","-0.02048"
"0.57700","0.69573","-0.01942"
"0.57800","0.69698","-0.01876"
"0.57900","0.69822","-0.01851"
"0.58000","0.69947","-0.01853"
"0.58100","0.70071","-0.01874"
"0.58200","0.70196","-0.01915"
"0.58300","0.70320","-0.01970"
"0.58400","0.70444","-0.02018"
"0.58500","0.70569","-0.02040"
"0.58600","0.70693","-0.02031"
"0.58700","0.70817","-0.01988"
"0.58800","0.70941","-0.01907"
"0.58900","0.71066","-0.01797"
"0.59000","0.71190","-0.01691"
"0.59100","0.71314","-0.01631"
"0.59200","0.71438","-0.01636"
"0.59300","0.71563","-0.01668"
"0.59400","0.71687","-0.01668"
"0.59500","0.71811","-0.01636"
