Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"20.59600","25.71919","5.75587"
"20.59700","25.72044","5.75669"
"20.59800","25.72170","5.75712"
"20.59900","25.72295","5.75744"
"20.60000","25.72421","5.75755"
"20.60100","25.72546","5.75709"
"20.60200","25.72671","5.75611"
"20.60300","25.72797","5.75515"
"20.60400","25.72922","5.75445"
"20.60500","25.73048","5.75384"
"20.60600","25.73173","5.75329"
"20.60700","25.73298","5.75301"
"20.60800","25.73424","5.75293"
"20.60900","25.73549","5.75266"
"20.61000","25.73675","5.75201"
"20.61100","25.73800","5.75111"
"20.61200","25.73926","5.75003"
"20.61300","25.74051","5.74870"
"20.61400","25.74176","5.74729"
"20.61500","25.74302","5.74626"
"20.61600","25.74427","5.74597"
"20.61700","25.74552","5.74626"
"20.61800","25.74677","5.74679"
"20.61900","25.74803","5.74749"
"20.62000","25.74928","5.74849"
"20.62100","25.75053","5.74975"
"20.62200","25.75179","5.75110"
"20.62300","25.75304","5.75249"
"20.62400","25.75429","5.75388"
"20.62500","25.75554","5.75487"
"20.62600","25.75680","5.75514"
"20.62700","25.75805","5.75520"
"20.62800","25.75930","5.75571"
"20.62900","25.76056","5.75670"
"20.63000","25.76181","5.75777"
"20.63100","25.76307","5.75881"
"20.63200","25.76432","5.76001"
"20.63300","25.76558","5.76134"
"20.63400","25.76683","5.76240"
"20.63500","25.76809","5.76298"
"20.63600","25.76934","5.76329"
"20.63700","25.77060","5.76352"
"20.63800","25.77185","5.76350"
"20.63900","25.77311","5.76322"
"20.64000","25.77436","5.76302"
"20.64100","25.77562","5.76321"
"20.64200","25.77687","5.76368"
"20.64300","25.77812","5.76427"
"20.64400","25.77938","5.76497"
"20.64500","25.78063","5.76577"
"20.64600","25.78188","5.76639"
"20.64700","25.78314","5.76662"
"20.64800","25.78439","5.76657"
"20.64900","25.78564","5.76638"
"20.65000","25.78689","5.76590"
"20.65100","25.78814","5.76505"
"20.65200","25.78939","5.76414"
"20.65300","25.79065","5.76362"
"20.65400","25.79190","5.76374"
"20.65500","25.79315","5.76441"
"20.65600","25.79440","5.76545"
"20.65700","25.79565","5.76671"
"20.65800","25.79690","5.76798"
"20.65900","25.79815","5.76904"
"20.66000","25.79940","5.76984"
"20.66100","25.80065","5.77037"
"20.66200","25.80190","5.77057"
"20.66300","25.80315","5.77054"
"20.66400","25.80440","5.77062"
"20.66500","25.80565","5.77106"
"20.66600","25.80690","5.77181"
"20.66700","25.80815","5.77270"
"20.66800","25.80940","5.77361"
"20.66900","25.81065","5.77449"
"20.67000","25.81190","5.77526"
"20.67100","25.81315","5.77579"
"20.67200","25.81440","5.77605"
"20.67300","25.81565","5.77616"
"20.67400","25.81689","5.77616"
"20.67500","25.81814","5.77598"
"20.67600","25.81939","5.77569"
"20.67700","25.82063","5.77564"
"20.67800","25.82188","5.77605"
"20.67900","25.82312","5.77678"
"20.68000","25.82437","5.77763"
"20.68100","25.82561","5.77857"
"20.68200","25.82686","5.77960"
"20.68300","25.82810","5.78055"
"20.68400","25.82934","5.78117"
"20.68500","25.83059","5.78140"
"20.68600","25.83183","5.78147"
"20.68700","25.83307","5.78171"
"20.68800","25.83431","5.78235"
"20.68900","25.83556","5.78375"
"20.69000","25.83680","5.78584"
"20.69100","25.83804","5.78767"
"20.69200","25.83929","5.78854"
"20.69300","25.84053","5.78904"
"20.69400","25.84177","5.78993"
"20.69500","25.84302","5.79086"
"20.69600","25.84426","5.79101"
"20.69700","25.84551","5.79040"
"20.69800","25.84675","5.78974"
"20.69900","25.84800","5.78940"
"20.70000","25.84924","5.78896"
"20.70100","25.85049","5.78819"
"20.70200","25.85173","5.78761"
"20.70300","25.85298","5.78762"
"20.70400","25.85423","5.78784"
"20.70500","25.85547","5.78789"
"20.70600","25.85672","5.78802"
"20.70700","25.85797","5.78823"
"20.70800","25.85921","5.78801"
"20.70900","25.86046","5.78709"
"20.71000","25.86171","5.78582"
"20.71100","25.86296","5.78461"
"20.71200","25.86420","5.78351"
"20.71300","25.86545","5.78254"
"20.71400","25.86670","5.78202"
"20.71500","25.86795","5.78220"
"20.71600","25.86920","5.78282"
"20.71700","25.87045","5.78345"
"20.71800","25.87170","5.78403"
"20.71900","25.87295","5.78471"
"20.72000","25.87420","5.78539"
"20.72100","25.87545","5.78606"
"20.72200","25.87670","5.78708"
"20.72300","25.87795","5.78825"
"20.72400","25.87921","5.78879"
"20.72500","25.88046","5.78871"
"20.72600","25.88171","5.78900"
"20.72700","25.88296","5.79008"
"20.72800","25.88422","5.79126"
"20.72900","25.88547","5.79193"
"20.73000","25.88673","5.79234"
"20.73100","25.88798","5.79292"
"20.73200","25.88923","5.79342"
"20.73300","25.89049","5.79322"
"20.73400","25.89174","5.79237"
"20.73500","25.89300","5.79148"
"20.73600","25.89426","5.79072"
"20.73700","25.89551","5.78989"
"20.73800","25.89677","5.78919"
"20.73900","25.89802","5.78905"
"20.74000","25.89928","5.78937"
"20.74100","25.90054","5.78973"
"20.74200","25.90179","5.78999"
"20.74300","25.90305","5.79017"
"20.74400","25.90431","5.79012"
"20.74500","25.90556","5.78963"
"20.74600","25.90682","5.78883"
"20.74700","25.90808","5.78812"
"20.74800","25.90933","5.78769"
"20.74900","25.91059","5.78748"
"20.75000","25.91184","5.78747"
"20.75100","25.91310","5.78789"
"20.75200","25.91435","5.78886"
"20.75300","25.91561","5.79026"
"20.75400","25.91686","5.79200"
"20.75500","25.91812","5.79412"
"20.75600","25.91937","5.79651"
"20.75700","25.92062","5.79855"
"20.75800","25.92188","5.79953"
"20.75900","25.92313","5.79966"
"20.76000","25.92439","5.79996"
"20.76100","25.92564","5.80098"
"20.76200","25.92689","5.80237"
"20.76300","25.92814","5.80370"
"20.76400","25.92940","5.80511"
"20.76500","25.93065","5.80689"
"20.76600","25.93190","5.80878"
"20.76700","25.93316","5.81015"
"20.76800","25.93441","5.81088"
"20.76900","25.93567","5.81126"
"20.77000","25.93692","5.81134"
"20.77100","25.93818","5.81094"
"20.77200","25.93943","5.81037"
"20.77300","25.94069","5.81011"
"20.77400","25.94194","5.81023"
"20.77500","25.94319","5.81043"
"20.77600","25.94445","5.81067"
"20.77700","25.94570","5.81117"
"20.77800","25.94696","5.81184"
"20.77900","25.94821","5.81230"
"20.78000","25.94947","5.81241"
"20.78100","25.95072","5.81234"
"20.78200","25.95198","5.81212"
"20.78300","25.95323","5.81157"
"20.78400","25.95448","5.81077"
"20.78500","25.95574","5.81015"
"20.78600","25.95699","5.81006"
"20.78700","25.95825","5.81052"
"20.78800","25.95950","5.81147"
"20.78900","25.96075","5.81311"
"20.79000","25.96201","5.81517"
"20.79100","25.96326","5.81661"
"20.79200","25.96451","5.81683"
"20.79300","25.96576","5.81646"
"20.79400","25.96702","5.81709"
"20.79500","25.96827","5.82010"
"20.79600","25.96952","5.82462"
"20.79700","25.97077","5.82767"
"20.79800","25.97202","5.82738"
"20.79900","25.97328","5.82504"
"20.80000","25.97453","5.82342"
"20.80100","25.97578","5.82363"
"20.80200","25.97703","5.82426"
"20.80300","25.97828","5.82374"
"20.80400","25.97953","5.82256"
"20.80500","25.98078","5.82215"
"20.80600","25.98203","5.82249"
"20.80700","25.98328","5.82235"
"20.80800","25.98453","5.82135"
"20.80900","25.98578","5.82026"
"20.81000","25.98703","5.81964"
"20.81100","25.98828","5.81938"
"20.81200","25.98953","5.81931"
"20.81300","25.99078","5.81951"
"20.81400","25.99203","5.82004"
"20.81500","25.99328","5.82067"
"20.81600","25.99453","5.82115"
"20.81700","25.99578","5.82142"
"20.81800","25.99703","5.82143"
"20.81900","25.99828","5.82109"
"20.82000","25.99953","5.82074"
"20.82100","26.00078","5.82102"
"20.82200","26.00203","5.82231"
"20.82300","26.00327","5.82429"
"20.82400","26.00452","5.82649"
"20.82500","26.00577","5.82872"
"20.82600","26.00702","5.83088"
"20.82700","26.00827","5.83278"
"20.82800","26.00952","5.83450"
"20.82900","26.01077","5.83619"
"20.83000","26.01202","5.83778"
"20.83100","26.01327","5.83908"
"20.83200","26.01452","5.83991"
"20.83300","26.01576","5.84037"
"20.83400","26.01701","5.84080"
"20.83500","26.01826","5.84146"
"20.83600","26.01951","5.84243"
"20.83700","26.02076","5.84370"
"20.83800","26.02201","5.84516"
"20.83900","26.02326","5.84651"
"20.84000","26.02451","5.84751"
"20.84100","26.02575","5.84805"
"20.84200","26.02700","5.84816"
"20.84300","26.02825","5.84791"
"20.84400","26.02949","5.84745"
"20.84500","26.03074","5.84695"
"20.84600","26.03199","5.84661"
"20.84700","26.03323","5.84664"
"20.84800","26.03448","5.84705"
"20.84900","26.03572","5.84770"
"20.85000","26.03697","5.84845"
"20.85100","26.03821","5.84921"
"20.85200","26.03946","5.84993"
"20.85300","26.04070","5.85056"
"20.85400","26.04194","5.85114"
"20.85500","26.04319","5.85170"
"20.85600","26.04443","5.85232"
"20.85700","26.04568","5.85320"
"20.85800","26.04692","5.85419"
"20.85900","26.04817","5.85473"
"20.86000","26.04941","5.85484"
"20.86100","26.05066","5.85528"
"20.86200","26.05190","5.85644"
"20.86300","26.05315","5.85780"
"20.86400","26.05439","5.85862"
"20.86500","26.05564","5.85880"
"20.86600","26.05688","5.85875"
"20.86700","26.05813","5.85864"
"20.86800","26.05938","5.85826"
"20.86900","26.06062","5.85763"
"20.87000","26.06187","5.85712"
"20.87100","26.06312","5.85693"
"20.87200","26.06437","5.85698"
"20.87300","26.06562","5.85727"
"20.87400","26.06687","5.85789"
"20.87500","26.06812","5.85857"
"20.87600","26.06936","5.85891"
"20.87700","26.07061","5.85883"
"20.87800","26.07186","5.85847"
"20.87900","26.07311","5.85791"
"20.88000","26.07436","5.85715"
"20.88100","26.07561","5.85631"
"20.88200","26.07686","5.85565"
"20.88300","26.07812","5.85535"
"20.88400","26.07937","5.85540"
"20.88500","26.08062","5.85575"
"20.88600","26.08187","5.85637"
"20.88700","26.08312","5.85712"
"20.88800","26.08438","5.85781"
"20.88900","26.08563","5.85846"
"20.89000","26.08688","5.85919"
"20.89100","26.08813","5.86002"
"20.89200","26.08939","5.86104"
"20.89300","26.09064","5.86232"
"20.89400","26.09189","5.86355"
"20.89500","26.09315","5.86443"
"20.89600","26.09440","5.86528"
"20.89700","26.09566","5.86664"
"20.89800","26.09691","5.86854"
"20.89900","26.09817","5.87049"
"20.90000","26.09942","5.87206"
"20.90100","26.10068","5.87340"
"20.90200","26.10193","5.87472"
"20.90300","26.10319","5.87575"
"20.90400","26.10444","5.87626"
"20.90500","26.10570","5.87662"
"20.90600","26.10696","5.87735"
"20.90700","26.10821","5.87848"
"20.90800","26.10947","5.87986"
"20.90900","26.11073","5.88160"
"20.91000","26.11198","5.88371"
"20.91100","26.11324","5.88587"
"20.91200","26.11449","5.88776"
"20.91300","26.11575","5.88932"
"20.91400","26.11700","5.89059"
"20.91500","26.11826","5.89150"
"20.91600","26.11951","5.89201"
"20.91700","26.12077","5.89247"
"20.91800","26.12202","5.89322"
"20.91900","26.12328","5.89428"
"20.92000","26.12453","5.89549"
"20.92100","26.12579","5.89694"
"20.92200","26.12704","5.89881"
"20.92300","26.12830","5.90097"
"20.92400","26.12955","5.90305"
"20.92500","26.13080","5.90489"
"20.92600","26.13206","5.90650"
"20.92700","26.13331","5.90778"
"20.92800","26.13456","5.90847"
"20.92900","26.13581","5.90855"
"20.93000","26.13707","5.90833"
"20.93100","26.13832","5.90814"
"20.93200","26.13957","5.90809"
"20.93300","26.14082","5.90820"
"20.93400","26.14207","5.90860"
"20.93500","26.14332","5.90924"
"20.93600","26.14457","5.90970"
"20.93700","26.14582","5.90967"
"20.93800","26.14707","5.90923"
"20.93900","26.14832","5.90856"
"20.94000","26.14957","5.90767"
"20.94100","26.15082","5.90647"
"20.94200","26.15207","5.90507"
"20.94300","26.15332","5.90376"
"20.94400","26.15457","5.90273"
"20.94500","26.15582","5.90195"
"20.94600","26.15706","5.90133"
"20.94700","26.15831","5.90084"
"20.94800","26.15956","5.90046"
"20.94900","26.16081","5.90010"
"20.95000","26.16205","5.89964"
"20.95100","26.16330","5.89905"
"20.95200","26.16455","5.89832"
"20.95300","26.16579","5.89750"
"20.95400","26.16704","5.89670"
"20.95500","26.16829","5.89620"
"20.95600","26.16953","5.89633"
"20.95700","26.17078","5.89711"
"20.95800","26.17202","5.89831"
"20.95900","26.17327","5.89980"
"20.96000","26.17451","5.90159"
"20.96100","26.17576","5.90340"
"20.96200","26.17701","5.90472"
"20.96300","26.17825","5.90536"
"20.96400","26.17950","5.90566"
"20.96500","26.18074","5.90595"
"20.96600","26.18199","5.90633"
"20.96700","26.18324","5.90685"
"20.96800","26.18448","5.90761"
"20.96900","26.18573","5.90869"
"20.97000","26.18698","5.90998"
"20.97100","26.18822","5.91135"
"20.97200","26.18947","5.91279"
"20.97300","26.19071","5.91421"
"20.97400","26.19196","5.91528"
"20.97500","26.19320","5.91578"
"20.97600","26.19445","5.91591"
"20.97700","26.19570","5.91588"
"20.97800","26.19694","5.91575"
"20.97900","26.19819","5.91553"
"20.98000","26.19943","5.91543"
"20.98100","26.20068","5.91558"
"20.98200","26.20192","5.91595"
"20.98300","26.20317","5.91662"
"20.98400","26.20441","5.91770"
"20.98500","26.20565","5.91902"
"20.98600","26.20690","5.92013"
"20.98700","26.20814","5.92078"
"20.98800","26.20938","5.92126"
"20.98900","26.21062","5.92198"
"20.99000","26.21186","5.92307"
"20.99100","26.21311","5.92455"
"20.99200","26.21435","5.92641"
"20.99300","26.21559","5.92844"
"20.99400","26.21683","5.93040"
"20.99500","26.21807","5.93236"
"20.99600","26.21932","5.93453"
"20.99700","26.22056","5.93677"
"20.99800","26.22180","5.93859"
"20.99900","26.22304","5.93980"
"21.00000","26.22428","5.94064"
"21.00100","26.22553","5.94130"
"21.00200","26.22677","5.94173"
"21.00300","26.22801","5.94196"
"21.00400","26.22926","5.94225"
"21.00500","26.23050","5.94277"
"21.00600","26.23174","5.94344"
"21.00700","26.23299","5.94419"
"21.00800","26.23424","5.94502"
"21.00900","26.23548","5.94592"
"21.01000","26.23673","5.94660"
"21.01100","26.23797","5.94678"
"21.01200","26.23922","5.94643"
"21.01300","26.24047","5.94581"
"21.01400","26.24171","5.94513"
"21.01500","26.24296","5.94455"
"21.01600","26.24421","5.94424"
"21.01700","26.24545","5.94436"
"21.01800","26.24670","5.94496"
"21.01900","26.24795","5.94588"
"21.02000","26.24920","5.94694"
"21.02100","26.25045","5.94800"
"21.02200","26.25170","5.94900"
"21.02300","26.25295","5.94982"
"21.02400","26.25420","5.95031"
"21.02500","26.25546","5.95052"
"21.02600","26.25671","5.95071"
"21.02700","26.25796","5.95121"
"21.02800","26.25921","5.95294"
"21.02900","26.26047","5.95720"
"21.03000","26.26172","5.96320"
"21.03100","26.26298","5.96746"
"21.03200","26.26423","5.96796"
"21.03300","26.26549","5.96643"
"21.03400","26.26675","5.96560"
"21.03500","26.26801","5.96618"
"21.03600","26.26926","5.96681"
"21.03700","26.27052","5.96636"
"21.03800","26.27178","5.96540"
"21.03900","26.27304","5.96491"
"21.04000","26.27429","5.96491"
"21.04100","26.27555","5.96528"
"21.04200","26.27681","5.96630"
"21.04300","26.27807","5.96757"
"21.04400","26.27933","5.96827"
"21.04500","26.28059","5.96855"
"21.04600","26.28185","5.96915"
"21.04700","26.28311","5.97014"
"21.04800","26.28437","5.97092"
"21.04900","26.28563","5.97109"
"21.05000","26.28689","5.97074"
"21.05100","26.28815","5.97009"
"21.05200","26.28942","5.96934"
"21.05300","26.29068","5.96908"
"21.05400","26.29194","5.96997"
"21.05500","26.29320","5.97186"
"21.05600","26.29446","5.97380"
"21.05700","26.29572","5.97529"
"21.05800","26.29698","5.97649"
"21.05900","26.29824","5.97749"
"21.06000","26.29950","5.97815"
"21.06100","26.30076","5.97860"
"21.06200","26.30202","5.97930"
"21.06300","26.30328","5.98018"
"21.06400","26.30453","5.98077"
"21.06500","26.30579","5.98107"
"21.06600","26.30705","5.98154"
"21.06700","26.30831","5.98233"
"21.06800","26.30957","5.98314"
"21.06900","26.31083","5.98378"
"21.07000","26.31208","5.98429"
"21.07100","26.31334","5.98459"
"21.07200","26.31460","5.98432"
"21.07300","26.31586","5.98351"
"21.07400","26.31711","5.98267"
"21.07500","26.31837","5.98203"
"21.07600","26.31962","5.98143"
"21.07700","26.32088","5.98090"
"21.07800","26.32213","5.98077"
"21.07900","26.32338","5.98116"
"21.08000","26.32463","5.98195"
"21.08100","26.32589","5.98296"
"21.08200","26.32714","5.98402"
"21.08300","26.32839","5.98482"
"21.08400","26.32964","5.98503"
"21.08500","26.33089","5.98467"
"21.08600","26.33214","5.98419"
"21.08700","26.33339","5.98403"
"21.08800","26.33463","5.98410"
"21.08900","26.33588","5.98417"
"21.09000","26.33713","5.98443"
"21.09100","26.33838","5.98529"
"21.09200","26.33962","5.98684"
"21.09300","26.34087","5.98890"
"21.09400","26.34212","5.99116"
"21.09500","26.34336","5.99330"
"21.09600","26.34461","5.99504"
"21.09700","26.34586","5.99631"
"21.09800","26.34710","5.99723"
"21.09900","26.34835","5.99797"
"21.10000","26.34959","5.99873"
"21.10100","26.35084","5.99970"
"21.10200","26.35209","6.00101"
"21.10300","26.35333","6.00264"
"21.10400","26.35458","6.00458"
"21.10500","26.35582","6.00686"
"21.10600","26.35707","6.00938"
"21.10700","26.35831","6.01173"
"21.10800","26.35956","6.01344"
"21.10900","26.36080","6.01451"
"21.11000","26.36205","6.01527"
"21.11100","26.36329","6.01591"
"21.11200","26.36454","6.01660"
"21.11300","26.36579","6.01767"
"21.11400","26.36703","6.01929"
"21.11500","26.36828","6.02115"
"21.11600","26.36952","6.02285"
"21.11700","26.37077","6.02440"
"21.11800","26.37201","6.02600"
"21.11900","26.37326","6.02761"
"21.12000","26.37451","6.02892"
"21.12100","26.37575","6.02982"
"21.12200","26.37700","6.03030"
"21.12300","26.37824","6.03029"
"21.12400","26.37949","6.02972"
"21.12500","26.38073","6.02888"
"21.12600","26.38198","6.02834"
"21.12700","26.38322","6.02849"
"21.12800","26.38447","6.02934"
"21.12900","26.38571","6.03060"
"21.13000","26.38695","6.03172"
"21.13100","26.38820","6.03221"
"21.13200","26.38944","6.03196"
"21.13300","26.39069","6.03125"
"21.13400","26.39193","6.03033"
"21.13500","26.39318","6.02923"
"21.13600","26.39442","6.02794"
"21.13700","26.39567","6.02661"
"21.13800","26.39691","6.02543"
"21.13900","26.39816","6.02446"
"21.14000","26.39940","6.02391"
"21.14100","26.40065","6.02394"
"21.14200","26.40189","6.02440"
"21.14300","26.40314","6.02487"
"21.14400","26.40439","6.02507"
"21.14500","26.40563","6.02502"
"21.14600","26.40688","6.02487"
"21.14700","26.40812","6.02466"
"21.14800","26.40937","6.02448"
"21.14900","26.41061","6.02455"
"21.15000","26.41186","6.02511"
"21.15100","26.41310","6.02615"
"21.15200","26.41435","6.02761"
"21.15300","26.41559","6.02946"
"21.15400","26.41684","6.03149"
"21.15500","26.41808","6.03331"
"21.15600","26.41932","6.03467"
"21.15700","26.42057","6.03568"
"21.15800","26.42181","6.03664"
"21.15900","26.42306","6.03781"
"21.16000","26.42430","6.03950"
"21.16100","26.42555","6.04190"
"21.16200","26.42679","6.04477"
"21.16300","26.42803","6.04765"
"21.16400","26.42928","6.05047"
"21.16500","26.43052","6.05345"
"21.16600","26.43177","6.05653"
"21.16700","26.43302","6.05924"
"21.16800","26.43426","6.06116"
"21.16900","26.43551","6.06244"
"21.17000","26.43676","6.06347"
"21.17100","26.43801","6.06441"
"21.17200","26.43925","6.06522"
"21.17300","26.44050","6.06594"
"21.17400","26.44175","6.06668"
"21.17500","26.44300","6.06747"
"21.17600","26.44425","6.06834"
"21.17700","26.44550","6.06932"
"21.17800","26.44675","6.07033"
"21.17900","26.44800","6.07112"
"21.18000","26.44925","6.07143"
"21.18100","26.45050","6.07114"
"21.18200","26.45175","6.07036"
"21.18300","26.45300","6.06921"
"21.18400","26.45425","6.06770"
"21.18500","26.45551","6.06605"
"21.18600","26.45675","6.06471"
"21.18700","26.45801","6.06401"
"21.18800","26.45926","6.06379"
"21.18900","26.46051","6.06378"
"21.19000","26.46176","6.06386"
"21.19100","26.46301","6.06399"
"21.19200","26.46426","6.06390"
"21.19300","26.46551","6.06343"
"21.19400","26.46676","6.06287"
"21.19500","26.46802","6.06275"
"21.19600","26.46927","6.06322"
"21.19700","26.47052","6.06403"
"21.19800","26.47178","6.06496"
"21.19900","26.47303","6.06620"
"21.20000","26.47428","6.06801"
"21.20100","26.47554","6.07043"
"21.20200","26.47679","6.07320"
"21.20300","26.47804","6.07607"
"21.20400","26.47930","6.07890"
"21.20500","26.48055","6.08147"
"21.20600","26.48181","6.08372"
"21.20700","26.48306","6.08585"
"21.20800","26.48431","6.08811"
"21.20900","26.48557","6.09056"
"21.21000","26.48682","6.09313"
"21.21100","26.48807","6.09580"
"21.21200","26.48932","6.09866"
"21.21300","26.49058","6.10161"
"21.21400","26.49183","6.10439"
"21.21500","26.49308","6.10681"
"21.21600","26.49433","6.10880"
"21.21700","26.49558","6.11021"
"21.21800","26.49684","6.11087"
"21.21900","26.49809","6.11090"
"21.22000","26.49934","6.11063"
"21.22100","26.50059","6.11029"
"21.22200","26.50184","6.10988"
"21.22300","26.50309","6.10935"
"21.22400","26.50434","6.10877"
"21.22500","26.50559","6.10815"
"21.22600","26.50684","6.10737"
"21.22700","26.50809","6.10647"
"21.22800","26.50935","6.10570"
"21.22900","26.51060","6.10509"
"21.23000","26.51185","6.10425"
"21.23100","26.51310","6.10291"
"21.23200","26.51436","6.10125"
"21.23300","26.51561","6.09967"
"21.23400","26.51686","6.09835"
"21.23500","26.51812","6.09722"
"21.23600","26.51937","6.09644"
"21.23700","26.52063","6.09626"
"21.23800","26.52188","6.09660"
"21.23900","26.52313","6.09701"
"21.24000","26.52439","6.09723"
"21.24100","26.52564","6.09721"
"21.24200","26.52690","6.09678"
"21.24300","26.52815","6.09593"
"21.24400","26.52940","6.09513"
"21.24500","26.53065","6.09500"
"21.24600","26.53191","6.09563"
"21.24700","26.53316","6.09663"
"21.24800","26.53441","6.09782"
"21.24900","26.53566","6.09942"
"21.25000","26.53691","6.10158"
"21.25100","26.53817","6.10405"
"21.25200","26.53942","6.10650"
"21.25300","26.54067","6.10886"
"21.25400","26.54192","6.11108"
"21.25500","26.54317","6.11297"
"21.25600","26.54442","6.11446"
"21.25700","26.54567","6.11573"
"21.25800","26.54692","6.11723"
"21.25900","26.54817","6.11942"
"21.26000","26.54942","6.12241"
"21.26100","26.55066","6.12575"
"21.26200","26.55192","6.12893"
"21.26300","26.55317","6.13184"
"21.26400","26.55441","6.13466"
"21.26500","26.55566","6.13730"
"21.26600","26.55691","6.13946"
"21.26700","26.55816","6.14098"
"21.26800","26.55941","6.14199"
"21.26900","26.56066","6.14261"
"21.27000","26.56190","6.14283"
"21.27100","26.56315","6.14279"
"21.27200","26.56440","6.14286"
"21.27300","26.56565","6.14334"
"21.27400","26.56689","6.14411"
"21.27500","26.56814","6.14475"
"21.27600","26.56939","6.14489"
"21.27700","26.57063","6.14437"
"21.27800","26.57188","6.14323"
"21.27900","26.57313","6.14171"
"21.28000","26.57437","6.14003"
"21.28100","26.57561","6.13830"
"21.28200","26.57686","6.13655"
"21.28300","26.57811","6.13494"
"21.28400","26.57935","6.13372"
"21.28500","26.58060","6.13294"
"21.28600","26.58184","6.13243"
"21.28700","26.58308","6.13211"
"21.28800","26.58433","6.13199"
"21.28900","26.58557","6.13199"
"21.29000","26.58681","6.13182"
"21.29100","26.58806","6.13143"
"21.29200","26.58931","6.13105"
"21.29300","26.59055","6.13093"
"21.29400","26.59180","6.13108"
"21.29500","26.59304","6.13155"
"21.29600","26.59429","6.13256"
"21.29700","26.59553","6.13411"
"21.29800","26.59678","6.13591"
"21.29900","26.59803","6.13783"
"21.30000","26.59927","6.13993"
"21.30100","26.60052","6.14206"
"21.30200","26.60177","6.14377"
"21.30300","26.60302","6.14487"
"21.30400","26.60426","6.14571"
"21.30500","26.60551","6.14664"
"21.30600","26.60676","6.14765"
"21.30700","26.60801","6.14872"
"21.30800","26.60925","6.15005"
"21.30900","26.61050","6.15178"
"21.31000","26.61175","6.15363"
"21.31100","26.61300","6.15538"
"21.31200","26.61425","6.15707"
"21.31300","26.61550","6.15872"
"21.31400","26.61675","6.16005"
"21.31500","26.61800","6.16083"
"21.31600","26.61925","6.16119"
"21.31700","26.62050","6.16141"
"21.31800","26.62175","6.16146"
"21.31900","26.62300","6.16134"
"21.32000","26.62425","6.16136"
"21.32100","26.62550","6.16180"
"21.32200","26.62675","6.16265"
"21.32300","26.62800","6.16386"
"21.32400","26.62925","6.16539"
"21.32500","26.63051","6.16689"
"21.32600","26.63176","6.16785"
"21.32700","26.63301","6.16809"
"21.32800","26.63426","6.16797"
"21.32900","26.63552","6.16789"
"21.33000","26.63677","6.16786"
"21.33100","26.63802","6.16778"
"21.33200","26.63928","6.16794"
"21.33300","26.64053","6.16858"
"21.33400","26.64179","6.16940"
"21.33500","26.64304","6.16997"
"21.33600","26.64429","6.17037"
"21.33700","26.64555","6.17086"
"21.33800","26.64680","6.17134"
"21.33900","26.64806","6.17148"
"21.34000","26.64931","6.17127"
"21.34100","26.65057","6.17083"
"21.34200","26.65182","6.17013"
"21.34300","26.65307","6.16944"
"21.34400","26.65433","6.16950"
"21.34500","26.65558","6.17081"
"21.34600","26.65684","6.17294"
"21.34700","26.65809","6.17503"
"21.34800","26.65934","6.17673"
"21.34900","26.66059","6.17831"
"21.35000","26.66185","6.17988"
"21.35100","26.66310","6.18124"
"21.35200","26.66435","6.18237"
"21.35300","26.66561","6.18354"
"21.35400","26.66686","6.18484"
"21.35500","26.66811","6.18612"
"21.35600","26.66936","6.18735"
"21.35700","26.67062","6.18881"
"21.35800","26.67187","6.19093"
"21.35900","26.67312","6.19378"
"21.36000","26.67437","6.19682"
"21.36100","26.67562","6.19939"
"21.36200","26.67688","6.20126"
"21.36300","26.67813","6.20264"
"21.36400","26.67939","6.20367"
"21.36500","26.68064","6.20429"
"21.36600","26.68189","6.20446"
"21.36700","26.68315","6.20436"
"21.36800","26.68440","6.20424"
"21.36900","26.68566","6.20430"
"21.37000","26.68691","6.20456"
"21.37100","26.68817","6.20493"
"21.37200","26.68942","6.20528"
"21.37300","26.69068","6.20562"
"21.37400","26.69193","6.20596"
"21.37500","26.69319","6.20617"
"21.37600","26.69445","6.20602"
"21.37700","26.69570","6.20545"
"21.37800","26.69696","6.20479"
"21.37900","26.69821","6.20439"
"21.38000","26.69947","6.20435"
"21.38100","26.70072","6.20450"
"21.38200","26.70198","6.20481"
"21.38300","26.70324","6.20534"
"21.38400","26.70449","6.20611"
"21.38500","26.70574","6.20701"
"21.38600","26.70700","6.20784"
"21.38700","26.70825","6.20840"
"21.38800","26.70950","6.20863"
"21.38900","26.71075","6.20864"
"21.39000","26.71200","6.20872"
"21.39100","26.71325","6.20915"
"21.39200","26.71451","6.20996"
"21.39300","26.71576","6.21102"
"21.39400","26.71701","6.21226"
"21.39500","26.71826","6.21373"
"21.39600","26.71951","6.21535"
"21.39700","26.72076","6.21688"
"21.39800","26.72201","6.21817"
"21.39900","26.72326","6.21925"
"21.40000","26.72451","6.22007"
"21.40100","26.72576","6.22052"
"21.40200","26.72701","6.22070"
"21.40300","26.72827","6.22085"
"21.40400","26.72952","6.22115"
"21.40500","26.73076","6.22187"
"21.40600","26.73201","6.22329"
"21.40700","26.73326","6.22538"
"21.40800","26.73451","6.22765"
"21.40900","26.73576","6.22953"
"21.41000","26.73701","6.23092"
"21.41100","26.73826","6.23203"
"21.41200","26.73951","6.23292"
