Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"34.70000","57.79926","1.03278"
"34.80000","57.96599","1.06035"
"34.90000","58.13258","1.07871"
"35.00000","58.29927","1.07709"
"35.10000","58.46582","1.08214"
"35.20000","58.63242","1.06412"
"35.30000","58.79912","1.08236"
"35.40000","58.96572","1.09962"
"35.50000","59.13243","1.09859"
"35.60000","59.29929","1.09797"
"35.70000","59.46596","1.10160"
"35.80000","59.63255","1.11958"
"35.90000","59.79911","1.14879"
"36.00000","59.96591","1.16473"
"36.10000","60.13253","1.17750"
"36.20000","60.29906","1.18432"
"36.30000","60.46578","1.19460"
"36.40000","60.63246","1.21274"
"36.50000","60.79919","1.20718"
"36.60000","60.96598","1.20057"
"36.70000","61.13256","1.21275"
"36.80000","61.29919","1.22630"
"36.90000","61.46584","1.25802"
"37.00000","61.63254","1.26702"
"37.10000","61.79909","1.28087"
"37.20000","61.96571","1.27710"
"37.30000","62.13232","1.25284"
"37.40000","62.29914","1.26526"
"37.50000","62.46601","1.27070"
"37.60000","62.63272","1.29157"
"37.70000","62.79929","1.29481"
"37.80000","62.96581","1.32539"
"37.90000","63.13253","1.34845"
"38.00000","63.29910","1.37395"
"38.10000","63.46566","1.38225"
"38.20000","63.63239","1.38359"
"38.30000","63.79925","1.37460"
"38.40000","63.96598","1.38352"
"38.50000","64.13258","1.39692"
"38.60000","64.29919","1.40776"
"38.70000","64.46580","1.40282"
"38.80000","64.63246","1.40495"
"38.90000","64.79903","1.39171"
"39.00000","64.96571","1.42430"
"39.10000","65.13240","1.43053"
"39.20000","65.29951","1.44932"
"39.30000","65.46596","1.44278"
"39.40000","65.63261","1.44172"
"39.50000","65.79925","1.47733"
"39.60000","65.96586","1.49123"
"39.70000","66.13251","1.49060"
"39.80000","66.29904","1.49381"
"39.90000","66.46578","1.49595"
"40.00000","66.63248","1.52271"
"40.10000","66.79922","1.55122"
"40.20000","66.96597","1.55436"
"40.30000","67.13251","1.56251"
"40.40000","67.29921","1.57052"
"40.50000","67.46583","1.59285"
"40.60000","67.63248","1.62869"
"40.70000","67.79909","1.63308"
"40.80000","67.96572","1.64349"
"40.90000","68.13248","1.62087"
"41.00000","68.29928","1.62482"
"41.10000","68.46590","1.65229"
"41.20000","68.63260","1.66377"
"41.30000","68.79917","1.67804"
"41.40000","68.96581","1.67038"
"41.50000","69.13252","1.68062"
"41.60000","69.29903","1.72205"
"41.70000","69.46574","1.74717"
"41.80000","69.63245","1.74900"
"41.90000","69.79917","1.73923"
"42.00000","69.96584","1.72680"
"42.10000","70.13250","1.74846"
"42.20000","70.29930","1.76750"
"42.30000","70.46598","1.78314"
"42.40000","70.63251","1.79194"
"42.50000","70.79910","1.79946"
"42.60000","70.96564","1.84453"
"42.70000","71.13244","1.85343"
"42.80000","71.29918","1.87553"
"42.90000","71.46601","1.88744"
"43.00000","71.63261","1.87778"
"43.10000","71.79924","1.89538"
"43.20000","71.96583","1.91569"
"43.30000","72.13249","1.92327"
"43.40000","72.29903","1.93522"
"43.50000","72.46562","1.92553"
"43.60000","72.63239","1.92501"
"43.70000","72.79921","1.95639"
"43.80000","72.96600","1.99575"
"43.90000","73.13264","2.00459"
"44.00000","73.29918","2.00195"
"44.10000","73.46574","2.00223"
"44.20000","73.63245","2.03845"
"44.30000","73.79907","2.05406"
"44.40000","73.96576","2.06377"
"44.50000","74.13242","2.06329"
"44.60000","74.29924","2.08140"
"44.70000","74.46602","2.10329"
"44.80000","74.63263","2.14720"
"44.90000","74.79925","2.16835"
"45.00000","74.96583","2.17091"
"45.10000","75.13243","2.16537"
"45.20000","75.29910","2.18099"
"45.30000","75.46574","2.20817"
"45.40000","75.63249","2.21817"
"45.50000","75.79925","2.20826"
"45.60000","75.96597","2.23262"
"45.70000","76.13259","2.27539"
"45.80000","76.29921","2.31611"
"45.90000","76.46589","2.33830"
"46.00000","76.63245","2.37129"
"46.10000","76.79909","2.39093"
"46.20000","76.96571","2.40162"
"46.30000","77.13245","2.42595"
"46.40000","77.29922","2.47353"
"46.50000","77.46590","2.50864"
"46.60000","77.63243","2.53172"
"46.70000","77.79920","2.55630"
"46.80000","77.96597","2.62017"
"46.90000","78.13259","2.66912"
"47.00000","78.29904","2.70682"
"47.10000","78.46568","2.74278"
"47.20000","78.63245","2.77013"
"47.30000","78.79916","2.79125"
"47.40000","78.96598","2.80111"
"47.50000","79.13262","2.83846"
"47.60000","79.29916","2.87177"
"47.70000","79.46584","2.89514"
"47.80000","79.63251","2.93559"
"47.90000","79.79913","2.98469"
"48.00000","79.96559","3.02235"
"48.10000","80.13229","3.07505"
"48.20000","80.29926","3.13637"
"48.30000","80.46597","3.20851"
"48.40000","80.63264","3.26287"
"48.50000","80.79923","3.29948"
"48.60000","80.96584","3.31463"
"48.70000","81.13245","3.33368"
"48.80000","81.29916","3.38995"
"48.90000","81.46581","3.42295"
"49.00000","81.63234","3.46213"
"49.10000","81.79926","3.49111"
"49.20000","81.96600","3.53597"
"49.30000","82.13251","3.59114"
"49.40000","82.29922","3.65155"
"49.50000","82.46587","3.73060"
"49.60000","82.63242","3.81238"
"49.70000","82.79904","3.87356"
"49.80000","82.96571","3.92028"
"49.90000","83.13258","3.95339"
"50.00000","83.29918","3.98167"
"50.10000","83.46592","4.01690"
"50.20000","83.63250","4.06952"
"50.30000","83.79912","4.10350"
"50.40000","83.96588","4.14171"
"50.50000","84.13248","4.17667"
"50.60000","84.29899","4.24392"
"50.70000","84.46573","4.33053"
"50.80000","84.63241","4.41347"
"50.90000","84.79929","4.49148"
"51.00000","84.96597","4.56959"
"51.10000","85.13245","4.63807"
"51.20000","85.29903","4.70739"
"51.30000","85.46582","4.75446"
"51.40000","85.63261","4.78321"
"51.50000","85.79913","4.82355"
